year,known,unknown,accuracy_upper_bound
1867,14135,3118,0.8192778067582449
1868,14304,2932,0.8298909259689023
1869,14512,2824,0.8371019843101062
1870,13193,1827,0.8783621837549933
1871,16820,2550,0.8683531233866805
1872,12712,2814,0.8187556357078449
1873,13687,3458,0.7983085447652377
1874,11260,2149,0.8397345066746216
1875,17546,2989,0.8544436328220112
1876,16886,2272,0.8814072450151372
1877,17329,2129,0.890584849419262
1878,18013,2350,0.8845946078672101
1879,14310,2217,0.8658558722091123
1880,15041,1910,0.887322281871276
1881,10501,1624,0.8660618556701031
1882,15049,2495,0.8577861377108983
1883,14428,2187,0.8683719530544689
1884,9710,2863,0.7722898274079376
1885,13176,3529,0.7887458844657288
1886,14140,3720,0.7917133258678611
1887,10966,2331,0.8246973001428893
1888,13857,2669,0.8384969139537698
1889,16898,2191,0.8852218555188852
1890,14531,1808,0.8893445131280984
1891,13663,1448,0.9041757659982794
1892,15900,2036,0.886485280999108
1893,12761,1593,0.8890204820955832
1894,15968,1800,0.8986942818550203
1895,14808,1384,0.9145256916996047
1896,15779,1531,0.9115540150202195
1897,14572,1833,0.8882657726302956
1898,15654,1872,0.8931872646353989
1899,12254,1158,0.9136594094840441
1900,14303,1174,0.9241455062350584
1901,13852,1107,0.9259977271207969
1902,16020,1224,0.9290187891440501
1903,16817,1268,0.9298866463920376
1904,17791,1966,0.9004909652275143
1905,17619,1361,0.9282929399367755
1906,17714,1238,0.9346770789362601
1907,19957,1438,0.9327880345875205
1908,22238,1475,0.9377978324126007
1909,20550,1353,0.9382276400493084
1910,23922,1522,0.9401823612639522
1911,24913,1713,0.9356643881919928
1912,24964,1367,0.9480840074436976
1913,26392,1016,0.9629305312317572
1914,21271,1727,0.9249065136098791
1915,19861,1573,0.9266119249790054
1916,19737,1204,0.9425051334702259
1917,26069,2109,0.9251543757541344
1918,29923,2852,0.9129824561403509
1919,29487,3012,0.9073202252376996
1920,13484,1416,0.9049664429530201
1921,15471,1240,0.9257973789719347
1922,11555,723,0.9411141879784981
1923,9994,433,0.9584731945909658
1924,10710,244,0.9777250319517984
1925,8954,259,0.9718875502008032
1926,10278,312,0.9705382436260623
1927,10584,248,0.9771048744460856
1928,10736,235,0.9785798924437152
1929,10320,507,0.9531726239955667
1930,11908,545,0.9562354452742311
1931,10190,405,0.9617744218971213
1932,12663,772,0.9425381466319315
1933,9359,491,0.9501522842639594
1934,9316,476,0.9513888888888888
1935,7463,437,0.9446835443037974
1936,9475,587,0.941661697475651
1937,7927,180,0.9777969655852966
1938,7427,174,0.9771082752269438
1939,9148,477,0.9504415584415584
1940,7762,366,0.9549704724409449
1941,7079,318,0.9570095984858726
1942,8262,254,0.9701737905119775
1943,8530,426,0.9524341223760607
1944,8084,405,0.9522912003769585
1945,10966,615,0.9468957775667041
1946,10559,415,0.962183342445781
1947,8054,230,0.972235634958957
1948,15702,439,0.9728021807818599
1949,11818,513,0.9583975346687211
1950,12411,540,0.9583043780403058
1951,14365,557,0.9626725639994639
1952,13065,514,0.9621474335370793
1953,12672,700,0.94765180975172
1954,14740,750,0.9515816655907037
1955,13986,720,0.9510403916768666
1956,14818,966,0.9387987835783071
1957,13966,525,0.9637706162445656
1958,15149,990,0.9386579094119833
1959,14767,960,0.9389584790487696
1960,15913,643,0.9611621164532496
1961,14962,552,0.9644192342400413
1962,16118,549,0.9670606587868242
1963,17030,641,0.9637258785580896
1964,19140,1046,0.9481819082532448
1965,18839,777,0.9603894779771615
1966,19847,860,0.9584681508668567
1967,24170,1317,0.9483265978734257
1968,22041,943,0.9589714584058475
1969,23486,936,0.961673900581443
1970,24922,1115,0.9571763259976188
1971,18572,1206,0.9390231570431793
1972,20937,1449,0.9352720450281425
1973,19296,1583,0.9241821926337468
1974,17074,1343,0.9270782429277298
1975,23479,1994,0.9217210379617634
1976,35448,3680,0.905949703537109
1977,27476,2834,0.9064995051138238
1978,33445,2121,0.9403643929595681
1979,22997,1696,0.9313165674482647
1980,23584,1384,0.9445690483819289
1981,20544,831,0.9611228070175438
1982,20970,810,0.9628099173553719
1983,23837,612,0.9749683013620188
1984,23764,547,0.977499897165892
1985,22101,759,0.9667979002624671
1986,21613,846,0.9623313593659557
1987,22917,990,0.9585895344459782
1988,22891,745,0.9684802843120663
1989,25814,786,0.9704511278195489
1990,59955,1861,0.9698945256891419
1991,108608,3414,0.9695238435307351
1992,121735,3927,0.96874950263405
1993,129701,2569,0.9805776064111288
1994,110257,2000,0.9821837390986754
1995,96366,2137,0.9783052292823569
1996,90198,2796,0.9699335440996193
1997,97486,2486,0.9751330372504301
1998,93128,2484,0.9740199974898548
1999,99972,5587,0.9470722534317301
2000,107308,4915,0.9562032738386962
2001,107926,5211,0.9539407974402715
2002,103759,4953,0.9544392523364486
2003,97574,2895,0.9711851416854951
2004,81219,1482,0.9820800232161643
2005,83064,1463,0.9826919209246749
2006,75305,1426,0.9814155947400659
2007,92624,1215,0.9870522916910879
2008,99404,1272,0.9873654098295522
2009,86464,1401,0.9840550845046377
2010,75471,1019,0.986677997123807
2011,75165,960,0.9873891625615764
2012,81224,906,0.9889687081456228
2013,88716,801,0.9910519789537183
2014,83437,618,0.9926476711676878
2015,88125,1152,0.9870963406028428
2016,83901,1167,0.9862815629849062
2017,81525,1563,0.9811886192952051
2018,65090,1411,0.9787822739507677
2019,69217,811,0.9884189181470269
2020,69303,582,0.9916720326250268
2021,101487,1881,0.9818028790341304
2022,53201,2216,0.9600122706028836
