year,v1.0.0rc5,v1.0.0,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0,v2024.04.25rc1,v2024.04.26rc1,v1.1.0,v1.2.0
1867,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149,149
1868,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130,130
1869,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123,123
1870,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129,129
1871,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160,160
1872,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123,123
1873,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148,148
1874,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152,152
1875,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103,103
1876,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95,95
1877,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107,107
1878,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112,112
1879,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103,103
1880,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104,104
1881,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85,85
1882,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113,113
1883,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118,118
1884,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94,94
1885,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109,109
1886,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103,103
1887,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86,86
1888,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94,94
1889,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94,94
1890,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85,85
1891,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88,88
1892,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102,102
1893,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79,79
1894,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92,92
1895,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81,81
1896,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79,79
1897,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78,78
1898,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77,77
1899,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69,69
1900,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96,96
1901,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81,81
1902,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93,93
1903,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129,129
1904,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126,126
1905,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136,136
1906,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120,120
1907,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126,126
1908,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139,139
1909,120.0,120.0,122.0,122.0,122.0,122.0,122.0,120.0,120.0,120,120
1910,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103,103
1911,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93,93
1912,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97,97
1913,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97,97
1914,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277,277
1915,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183,183
1916,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202,202
1917,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148,148
1918,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176,176
1919,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149,149
1920,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153,153
1921,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110,110
1922,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93,93
1923,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91,91
1924,90.0,90.0,87.0,87.0,87.0,87.0,87.0,90.0,90.0,90,90
1925,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88,88
1926,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88,88
1927,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84,84
1928,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84,84
1929,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82,82
1930,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94,94
1931,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92,92
1932,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112,112
1933,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101,101
1934,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95,95
1935,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86,86
1936,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98,98
1937,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88,88
1938,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87,87
1939,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142,142
1940,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128,128
1941,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102,102
1942,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60,60
1943,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72,72
1944,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70,70
1945,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84,84
