year,v1.0.0,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0,v2024.04.25rc1,v2024.04.26rc1,v1.1.0
1867,4660.0,4660.0,4660.0,4660.0,4660.0,4660.0,4660.0,4660.0,4660
1868,4591.0,4591.0,4591.0,4591.0,4591.0,4591.0,4591.0,4591.0,4591
1869,4525.0,4525.0,4525.0,4525.0,4525.0,4525.0,4525.0,4525.0,4525
1870,4157.0,4157.0,4157.0,4157.0,4157.0,4157.0,4157.0,4157.0,4157
1871,5194.0,5194.0,5194.0,5194.0,5194.0,5194.0,5194.0,5194.0,5194
1872,4353.0,4353.0,4353.0,4353.0,4353.0,4353.0,4353.0,4353.0,4353
1873,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100
1874,4283.0,4283.0,4283.0,4283.0,4283.0,4283.0,4283.0,4283.0,4283
1875,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655.0,4655
1876,4343.0,4343.0,4343.0,4343.0,4343.0,4343.0,4343.0,4343.0,4343
1877,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,4494
1878,4551.0,4551.0,4551.0,4551.0,4551.0,4551.0,4551.0,4551.0,4551
1879,3827.0,3827.0,3827.0,3827.0,3827.0,3827.0,3827.0,3827.0,3827
1880,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812
1881,2867.0,2867.0,2867.0,2867.0,2867.0,2867.0,2867.0,2867.0,2867
1882,4048.0,4048.0,4048.0,4048.0,4048.0,4048.0,4048.0,4048.0,4048
1883,3778.0,3778.0,3778.0,3778.0,3778.0,3778.0,3778.0,3778.0,3778
1884,2894.0,2894.0,2894.0,2894.0,2894.0,2894.0,2894.0,2894.0,2894
1885,3816.0,3816.0,3816.0,3816.0,3816.0,3816.0,3816.0,3816.0,3816
1886,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840
1887,3101.0,3101.0,3101.0,3101.0,3101.0,3101.0,3101.0,3101.0,3101
1888,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770
1889,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094
1890,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563
1891,3484.0,3484.0,3484.0,3484.0,3484.0,3484.0,3484.0,3484.0,3484
1892,4279.0,4279.0,4279.0,4279.0,4279.0,4279.0,4279.0,4279.0,4279
1893,3211.0,3211.0,3211.0,3211.0,3211.0,3211.0,3211.0,3211.0,3211
1894,3901.0,3901.0,3901.0,3901.0,3901.0,3901.0,3901.0,3901.0,3901
1895,3562.0,3562.0,3562.0,3562.0,3562.0,3562.0,3562.0,3562.0,3562
1896,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786
1897,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773
