year,v1.0.0rc5,v1.0.0,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0,v2024.04.25rc1,v2024.04.26rc1,v1.1.0,v1.2.0
1867,1591238.0,1591238.0,1591238.0,1591238.0,1591238.0,1591238.0,1591238.0,1591238.0,1591238.0,1591238,1863301
1868,1592931.0,1592931.0,1592931.0,1592931.0,1592931.0,1592931.0,1592931.0,1592931.0,1592931.0,1592931,1887118
1869,1580857.0,1580857.0,1580857.0,1580857.0,1580857.0,1580857.0,1580857.0,1580857.0,1580857.0,1580857,1834885
1870,1435350.0,1435350.0,1435350.0,1435350.0,1435350.0,1435350.0,1435350.0,1435350.0,1435350.0,1435350,1700723
1871,1895649.0,1895649.0,1895649.0,1895649.0,1895649.0,1895649.0,1895649.0,1895649.0,1895649.0,1895649,2173616
1872,1532646.0,1532646.0,1532646.0,1532646.0,1532646.0,1532646.0,1532646.0,1532646.0,1532646.0,1532646,1805188
1873,1824376.0,1824376.0,1824376.0,1824376.0,1824376.0,1824376.0,1824376.0,1824376.0,1824376.0,1824376,2098310
1874,1455329.0,1455329.0,1455329.0,1455329.0,1455329.0,1455329.0,1455329.0,1455329.0,1455329.0,1455329,1681836
1875,1564345.0,1564345.0,1564345.0,1564345.0,1564345.0,1564345.0,1564345.0,1564345.0,1564345.0,1564345,1785084
1876,1480530.0,1480530.0,1480530.0,1480530.0,1480530.0,1480530.0,1480530.0,1480530.0,1480530.0,1480530,1694428
1877,1514412.0,1514412.0,1514412.0,1514412.0,1514412.0,1514412.0,1514412.0,1514412.0,1514412.0,1514412,1739047
1878,1602362.0,1602362.0,1602362.0,1602362.0,1602362.0,1602362.0,1602362.0,1602362.0,1602362.0,1602362,1804736
1879,1302538.0,1302538.0,1302538.0,1302538.0,1302538.0,1302538.0,1302538.0,1302538.0,1302538.0,1302538,1478275
1880,1316188.0,1316188.0,1316188.0,1316188.0,1316188.0,1316188.0,1316188.0,1316188.0,1316188.0,1316188,1489953
1881,1003666.0,1003666.0,1003666.0,1003666.0,1003666.0,1003666.0,1003666.0,1003666.0,1003666.0,1003666,1114340
1882,1443849.0,1443849.0,1443849.0,1443849.0,1443849.0,1443849.0,1443849.0,1443849.0,1443849.0,1443849,1607708
1883,1328002.0,1328002.0,1328002.0,1328002.0,1328002.0,1328002.0,1328002.0,1328002.0,1328002.0,1328002,1471103
1884,937789.0,937789.0,937789.0,937789.0,937789.0,937789.0,937789.0,937789.0,937789.0,937789,1068278
1885,1335744.0,1335744.0,1335744.0,1335744.0,1335744.0,1335744.0,1335744.0,1335744.0,1335744.0,1335744,1481651
1886,1333906.0,1333906.0,1333906.0,1333906.0,1333906.0,1333906.0,1333906.0,1333906.0,1333906.0,1333906,1471923
1887,1021747.0,1021747.0,1021747.0,1021747.0,1021747.0,1021747.0,1021747.0,1021747.0,1021747.0,1021747,1130462
1888,1304866.0,1304866.0,1304866.0,1304866.0,1304866.0,1304866.0,1304866.0,1304866.0,1304866.0,1304866,1431075
